timestamp,gyroscopeX,gyroscopeY,gyroscopeZ,accelerometerX,accelerometerY,accelerometerZ,magnetometerX,magnetometerY,magnetometerZ,RC0,RC1,RC2,RC3,RC4,RC5,RC6,RC7,Motor0,Motor1,Motor2,Motor3,Motor4,Motor5,Motor6,Motor7
1457272149596,-2.1951219512195124,0.9756097560975611,-2.1951219512195124,0.005859375,-0.03515625,0.966796875,0,0,0,1503,1495,1498,1368,1939,1500,1500,1500,1361,1359,1333,1375,0,0,0,0
1457272149644,1.4634146341463417,0,2.1951219512195124,-0.00390625,-0.064453125,0.984375,0,0,0,1502,1496,1496,1372,1938,1500,1500,1500,1369,1357,1335,1383,0,0,0,0
1457272149695,0.9756097560975611,0.24390243902439027,0,-0.00390625,-0.0234375,0.95703125,0,0,0,1502,1496,1497,1372,1939,1500,1500,1500,1365,1361,1339,1379,0,0,0,0
1457272149745,0,-0.9756097560975611,1.2195121951219514,0.017578125,-0.00390625,0.978515625,0,0,0,1503,1495,1496,1374,1938,1500,1500,1500,1370,1356,1336,1386,0,0,0,0
1457272149796,0.9756097560975611,-0.24390243902439027,1.707317073170732,0.009765625,-0.068359375,0.982421875,0,0,0,1503,1495,1496,1378,1938,1500,1500,1500,1369,1363,1343,1385,0,0,0,0
1457272149848,0.48780487804878053,-0.24390243902439027,-2.9268292682926833,0.025390625,0.048828125,0.98828125,0,0,0,1501,1495,1496,1382,1938,1500,1500,1500,1374,1366,1344,1392,0,0,0,0
1457272149900,0.24390243902439027,-0.24390243902439027,3.414634146341464,-0.005859375,-0.02734375,0.982421875,0,0,0,1502,1495,1496,1386,1938,1500,1500,1500,1374,1372,1348,1390,0,0,0,0
1457272149948,0.48780487804878053,0.9756097560975611,0,0.001953125,-0.025390625,0.962890625,0,0,0,1503,1495,1497,1391,1938,1500,1500,1500,1380,1378,1352,1394,0,0,0,0
1457272149999,1.4634146341463417,0.24390243902439027,0.9756097560975611,0.0078125,-0.013671875,0.98046875,0,0,0,1503,1495,1497,1396,1938,1500,1500,1500,1384,1378,1354,1400,0,0,0,0
1457272150048,0.9756097560975611,1.2195121951219514,-4.878048780487806,0.01171875,-0.0078125,0.96875,0,0,0,1503,1495,1496,1404,1937,1500,1500,1500,1389,1383,1359,1409,0,0,0,0
1457272150098,-1.9512195121951221,1.4634146341463417,-2.439024390243903,0.00390625,0.009765625,0.9765625,0,0,0,1501,1495,1497,1409,1938,1500,1500,1500,1394,1390,1364,1412,0,0,0,0
1457272150145,-0.24390243902439027,-0.48780487804878053,0,0.0390625,-0.021484375,0.97265625,0,0,0,1502,1495,1498,1414,1938,1500,1500,1500,1396,1392,1370,1414,0,0,0,0
1457272150196,1.2195121951219514,-0.48780487804878053,2.1951219512195124,-0.00390625,-0.0390625,0.9765625,0,0,0,1503,1495,1497,1419,1938,1500,1500,1500,1405,1395,1367,1421,0,0,0,0
1457272150244,-0.24390243902439027,0.7317073170731708,-2.9268292682926833,0.001953125,-0.013671875,0.9921875,0,0,0,1503,1495,1497,1425,1938,1500,1500,1500,1408,1400,1372,1428,0,0,0,0
1457272150297,-0.9756097560975611,0,-10.487804878048781,0.00390625,-0.029296875,0.986328125,0,0,0,1503,1495,1497,1431,1938,1500,1500,1500,1411,1405,1379,1429,0,0,0,0
1457272150346,-2.1951219512195124,0.48780487804878053,-4.878048780487806,0.015625,-0.03125,0.98828125,0,0,0,1503,1495,1498,1437,1939,1500,1500,1500,1416,1408,1384,1436,0,0,0,0
1457272150395,-0.7317073170731708,0.24390243902439027,-1.707317073170732,0.025390625,-0.041015625,0.982421875,0,0,0,1502,1496,1497,1442,1938,1500,1500,1500,1420,1414,1390,1440,0,0,0,0
1457272150445,0.48780487804878053,-1.2195121951219514,-3.658536585365854,0.017578125,-0.044921875,0.986328125,0,0,0,1503,1495,1497,1447,1939,1500,1500,1500,1425,1415,1389,1447,0,0,0,0
1457272150495,0.48780487804878053,0.7317073170731708,3.9024390243902443,0.064453125,-0.0859375,0.978515625,0,0,0,1502,1496,1496,1453,1938,1500,1500,1500,1429,1421,1397,1449,0,0,0,0
1457272150545,-0.9756097560975611,0,2.439024390243903,0.0390625,-0.01171875,0.96484375,0,0,0,1502,1495,1496,1460,1938,1500,1500,1500,1435,1429,1401,1455,0,0,0,0
1457272150595,-0.7317073170731708,1.2195121951219514,-0.48780487804878053,-0.009765625,-0.015625,0.978515625,0,0,0,1503,1495,1496,1463,1939,1500,1500,1500,1439,1427,1399,1463,0,0,0,0
1457272150644,-0.9756097560975611,0.48780487804878053,-9.51219512195122,0.005859375,0.0625,0.994140625,0,0,0,1503,1495,1496,1469,1938,1500,1500,1500,1447,1431,1401,1469,0,0,0,0
1457272150697,-0.9756097560975611,-1.2195121951219514,-0.24390243902439027,0.009765625,0.017578125,0.984375,0,0,0,1503,1495,1496,1474,1938,1500,1500,1500,1444,1440,1412,1464,0,0,0,0
1457272150748,-0.48780487804878053,-0.9756097560975611,7.073170731707318,0.00390625,-0.015625,0.9609375,0,0,0,1503,1495,1497,1480,1938,1500,1500,1500,1450,1444,1418,1468,0,0,0,0
1457272150799,-2.9268292682926833,-1.4634146341463417,1.707317073170732,0.0078125,-0.01953125,1,0,0,0,1501,1495,1498,1484,1939,1500,1500,1500,1452,1448,1418,1474,0,0,0,0
